label,bag_path,duration_sec,maximum_speed_kph,wheel_contacts,minimum_wheel_clearance_m,rear_center_rms_m,rear_center_max_m,cte_rms_m,cte_p95_m,cte_max_m,cte_max_elapsed_sec,minimum_wheel_clearance_elapsed_sec,minimum_wheel_clearance_x_m,minimum_wheel_clearance_y_m,curved_cte_p95_m,high_speed_cte_p95_m,steering_rate_rms_degps,steering_rate_p95_degps,straight_samples,straight_brake_samples,brake_samples,direct_pedal_reversals,heading_suppression_samples,maximum_heading_suppression_weight
final_heading_cap_rate1_05,/tmp/session_heading_final_full_05.bag,129.70007944107056,58.30060501098633,0,0.0910836497058436,0.14637669038984977,0.34516077807942924,0.14439330660606517,0.31162004458974524,0.5055999589841278,114.63339686393738,13.493449211120605,-98.81785222573671,-348.0053630149923,0.32713221607903337,0.1895988036263564,17.574565695694798,49.23735852007472,920,0,419,18,31,0.3
final_heading_cap_rate1_06,/tmp/session_heading_final_full_06.bag,129.70042252540588,58.32807083129883,1,-0.01717563038894876,0.14772629830706752,0.39350981009317126,0.14549173459160392,0.3147188407458805,0.6316332128715267,115.23349666595459,115.15675830841064,-80.84692251344677,340.2773521821946,0.3337628792794323,0.17693822268312764,18.903566267707934,56.94565458910398,926,0,438,18,24,0.3
return_rate2_speed2_01,/tmp/session_return_rate2_full_01.bag,129.69998955726624,58.308302307128905,1,-0.01008480170956294,0.14668901847738602,0.32715933906208333,0.14714893473792462,0.3163307678728322,0.6235951248357758,115.23338007926941,115.21749520301819,-80.84692251344677,340.2773521821946,0.3321229923991624,0.17958964887958584,19.70113808814448,51.85619987009324,926,0,415,20,35,0.3
final_01,/tmp/session_curve_approach1_full_01.bag,129.66657853126526,58.28146133422852,0,0.10510698817049402,0.1468817831538642,0.37683781743975553,0.13645414683916154,0.28988504549130095,0.4924433844033625,125.76659727096558,125.68457055091858,-80.39903722179588,340.451848980505,0.30847734999497783,0.17985894017595522,19.408884242561143,51.42868618540855,790,0,466,16,35,0.3
final_02,/tmp/session_curve_approach1_full_02.bag,129.76658034324646,58.29193267822266,0,0.10176691926269243,0.1452903902588746,0.3172664935724103,0.13813076401244595,0.291020653321286,0.5127388656643912,125.36657047271729,125.30609178543091,-81.5992006129818,339.73994542006403,0.3041283028606098,0.1719288062373311,20.475337549138864,57.57858494539909,797,0,457,16,44,0.3
final_03,/tmp/session_curve_approach1_full_03.bag,129.66660618782043,58.30710067749023,0,0.08081460103636062,0.1437318791264577,0.3334225038434214,0.1367638010266105,0.2887160859392712,0.5354268106575528,125.36653733253479,14.30342435836792,-97.08708582306281,-349.8964494699612,0.30797872541130533,0.18114814877743446,19.837825357441776,52.79458282209784,794,0,469,14,36,0.3
final_04,/tmp/session_curve_approach1_full_04.bag,129.69991278648376,58.27957305908203,0,0.11860546570502795,0.14548706908321907,0.34749390913849126,0.13820662654562063,0.2931891130448567,0.4790882775555711,119.5331814289093,119.50301551818848,-97.9972788185114,321.8072281545028,0.3081821846737258,0.17611644585626773,20.45308002140841,55.24172834919874,786,0,466,18,36,0.3
final_05,/tmp/session_curve_approach1_full_05.bag,129.7666835784912,58.2828483581543,0,0.12380521048451487,0.14670784960701436,0.32206654430559356,0.13704568817306717,0.2816312357278225,0.4792145398294877,125.00003027915955,125.504549741745,-79.95115194993559,340.62634580396116,0.30122727536043137,0.17339737937090544,19.577562460083573,50.49188590507209,792,0,469,16,39,0.3
target_58_5_01,/tmp/session_target585_01.bag,129.69992876052856,58.80364837646484,0,0.03966524888238743,0.14962462246409614,0.41154385488714984,0.14895990975513013,0.32303211715786273,0.5727182777201175,115.03329992294312,114.9239296913147,-81.1469633586239,340.0993762933649,0.34664309680384925,0.1835830080172809,18.112067003585892,51.824007987318886,928,0,424,16,36,0.3
target_58_5_02,/tmp/session_target585_02.bag,129.73359298706055,58.82807922363281,0,0.1079566916422443,0.14501529462241736,0.3319193892804871,0.14527223618916943,0.31289171574579927,0.47962336595839244,114.86671376228333,114.80970430374146,-79.95115194993559,340.62634580396116,0.33506379100615824,0.18145390963822428,18.083773811830746,51.20292042246156,935,0,429,18,37,0.3
target_58_5_03,/tmp/session_final_complete_01.bag,129.66669821739197,58.78555526733398,1,-0.005624180215721086,0.14625009042093443,0.3431336329850236,0.147939842955899,0.3205709332603698,0.6021651013775142,114.03338503837585,114.04117012023926,-84.16042846720666,337.7648156089708,0.34044175273575106,0.17508329767651445,18.462294297808846,54.98887145359538,925,0,424,18,27,0.3
